no,genre,playlist,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
1,Blues,0,0.598,0.735,2,-10.882,1,0.0973,0.44,0.000215,0.681,0.615,111.129,321133
2,Blues,0,0.692,0.493,9,-9.662,0,0.0325,0.0934,0.00166,0.128,0.28,86.644,301133
3,Blues,0,0.821,0.376,0,-13.622,1,0.0487,0.669,1.39E-05,0.106,0.824,119.039,170000
4,Blues,0,0.661,0.342,9,-16.361,0,0.043,0.844,0.000128,0.26,0.588,146.118,188400
5,Blues,0,0.542,0.588,2,-9.268,1,0.0665,0.67,0.158,0.241,0.881,113.948,238533
6,Blues,0,0.745,0.436,5,-9.617,0,0.043,0.597,0.0213,0.61,0.771,114.216,188200
7,Blues,0,0.294,0.736,7,-7.961,0,0.151,0.282,0.0418,0.102,0.753,208.576,314880
8,Blues,0,0.541,0.283,0,-13.659,1,0.0527,0.805,0.0367,0.0736,0.564,76.828,228627
9,Blues,0,0.596,0.545,11,-8.913,0,0.064,0.456,5.53E-05,0.329,0.718,146.953,179733
10,Blues,0,0.353,0.921,2,-5.64,1,0.0758,0.0488,0.065,0.314,0.526,145.589,271653
11,Blues,0,0.513,0.546,0,-15.672,1,0.0391,0.333,0,0.17,0.834,85.527,164547
12,Blues,0,0.565,0.526,0,-11.352,1,0.0365,0.0339,0.000119,0.11,0.637,167.936,204333
13,Blues,0,0.676,0.334,5,-10.572,1,0.0508,0.862,0,0.32,0.867,158,162040
14,Blues,0,0.675,0.311,9,-11.959,1,0.0525,0.93,0.000261,0.102,0.638,97.159,149560
15,Blues,0,0.629,0.0192,4,-19.952,1,0.0833,0.989,4.30E-05,0.106,0.335,169.254,188160
16,Blues,0,0.256,0.423,6,-11.994,1,0.035,0.000788,0.402,0.25,0.441,173.27,320907
17,Blues,0,0.606,0.301,0,-11.402,1,0.0423,0.545,0.00194,0.0419,0.457,100.979,183027
18,Blues,0,0.613,0.934,0,-3.711,1,0.0342,0.0406,0.000313,0.0882,0.776,107.273,283267
19,Blues,0,0.582,0.302,9,-11.624,1,0.0353,0.947,0.0107,0.0931,0.642,94.288,144427
20,Blues,0,0.678,0.612,4,-9.764,1,0.0339,0.101,0.318,0.164,0.857,118.381,216627
21,Blues,0,0.797,0.431,0,-16.457,1,0.0625,0.414,0.0359,0.138,0.809,109.893,366733
22,Blues,0,0.633,0.625,0,-10.951,1,0.0436,0.492,0.000418,0.204,0.841,103.355,147800
23,Blues,0,0.678,0.551,1,-7.332,1,0.0261,0.266,0.00322,0.254,0.767,97.767,280453
24,Blues,0,0.393,0.358,5,-9.598,0,0.0471,0.33,0.0313,0.12,0.598,180.075,383760
25,Blues,0,0.803,0.288,7,-15.418,0,0.0629,0.865,0.0593,0.0833,0.865,115.685,259160
26,Blues,0,0.673,0.481,9,-9.88,1,0.0488,0.0764,4.00E-05,0.127,0.767,117.087,178973
27,Blues,0,0.277,0.479,5,-8.483,0,0.0495,0.585,0.0224,0.16,0.483,53.905,230360
28,Blues,0,0.433,0.7,11,-8.197,1,0.163,0.843,0.324,0.102,0.8,80.623,176186
29,Blues,0,0.656,0.551,2,-14.141,1,0.0889,0.171,0.000155,0.0676,0.773,125.659,247507
30,Blues,0,0.462,0.796,9,-6.202,1,0.0322,0.384,0,0.296,0.824,204.028,264240
31,Blues,0,0.425,0.781,2,-4.124,1,0.0645,0.622,0.000648,0.154,0.862,198.018,155211
32,Blues,0,0.633,0.553,5,-8.485,1,0.0603,0.871,0.00266,0.0555,0.846,159.12,147478
33,Blues,0,0.469,0.236,7,-16.981,1,0.0364,0.407,0.0434,0.215,0.415,82.232,399173
34,Blues,0,0.517,0.607,2,-3.952,1,0.0363,0.97,0.0324,0.264,0.556,87.218,219000
35,Blues,0,0.697,0.637,11,-11.672,0,0.0376,0.482,5.13E-05,0.257,0.807,102.514,245840
36,Blues,0,0.73,0.235,0,-15.276,1,0.0355,0.527,0.0112,0.0663,0.624,87.226,247373
37,Blues,0,0.746,0.56,5,-14.789,1,0.0565,0.494,0,0.316,0.854,124.68,184960
38,Blues,0,0.333,0.603,0,-8.339,1,0.176,0.331,0.0268,0.982,0.525,207.8,292373
39,Blues,0,0.705,0.483,1,-12.209,1,0.0542,0.15,0.0265,0.202,0.713,122.863,181786
40,Blues,0,0.657,0.642,7,-12.98,1,0.085,0.926,0.0165,0.12,0.737,110.543,163027
41,Blues,0,0.642,0.599,11,-14.734,0,0.277,0.0146,0.00238,0.164,0.889,155.9,228533
42,Blues,0,0.321,0.625,2,-5.219,0,0.0302,0.491,5.08E-05,0.345,0.777,107.338,212600
43,Blues,0,0.6,0.496,3,-9.537,1,0.062,0.759,0,0.0564,0.621,114.451,616560
44,Blues,0,0.57,0.241,4,-12.138,1,0.0473,0.948,0.0224,0.111,0.543,115.352,181893
45,Blues,0,0.477,0.433,11,-6.473,0,0.0247,0.689,0.000195,0.151,0.611,82.52,156653
46,Blues,0,0.444,0.331,11,-15.307,0,0.225,0.931,0.00253,0.0695,0.876,81.155,143673
47,Blues,0,0.775,0.499,4,-7.181,1,0.0415,0.496,0.0219,0.114,0.862,121.056,232707
48,Blues,0,0.64,0.496,2,-11.124,1,0.0413,0.616,4.63E-05,0.183,0.954,116.632,253333
49,Blues,0,0.629,0.275,4,-17.572,1,0.0606,0.889,0.00747,0.107,0.666,81.98,201733
50,Blues,0,0.542,0.941,7,-2.225,1,0.0621,0.052,0.000191,0.056,0.445,82.371,243160
51,Classical,1,0.148,0.0441,4,-24.975,0,0.0418,0.971,0.878,0.0672,0.0883,75.515,856187
52,Classical,1,0.197,0.133,10,-24.248,1,0.0484,0.863,0.812,0.156,0.0389,125.682,836973
53,Classical,1,0.233,0.0252,2,-24.824,1,0.0346,0.975,0.601,0.143,0.0936,94.736,707173
54,Classical,1,0.255,0.108,4,-22.921,0,0.0473,0.845,0.0121,0.152,0.108,103.282,681267
55,Classical,1,0.386,0.325,7,-14.183,0,0.0427,0.923,0.904,0.105,0.224,155.594,644920
56,Classical,1,0.0903,0.083,11,-21.241,0,0.0387,0.958,0.863,0.0883,0.032,85.443,642827
57,Classical,1,0.156,0.0335,0,-25.684,0,0.0411,0.939,0.789,0.124,0.0359,67.197,623369
58,Classical,1,0.368,0.0224,7,-31.261,1,0.0364,0.994,0.918,0.129,0.247,98.118,620293
59,Classical,1,0.087,0.0507,2,-30.065,1,0.0432,0.21,0.419,0.106,0.0393,84.323,576920
60,Classical,1,0.165,0.0519,11,-25.473,1,0.0512,0.981,5.10E-05,0.103,0.0398,76.891,551907
61,Classical,1,0.0698,0.00405,3,-38.919,0,0.0383,0.851,0.418,0.153,0.0356,74.584,542760
62,Classical,1,0.226,0.0701,2,-20.668,1,0.0361,0.929,0.782,0.123,0.15,176.342,527400
63,Classical,1,0.491,0.464,7,-12.974,1,0.0505,0.766,0.925,0.309,0.187,81.582,516253
64,Classical,1,0.343,0.0209,8,-27.015,1,0.0398,0.987,0.922,0.126,0.0393,125.242,497773
65,Classical,1,0.208,0.0728,0,-21.736,1,0.0385,0.921,0.783,0.182,0.0466,82.973,490147
66,Classical,1,0.396,0.126,2,-23.011,1,0.0465,0.945,0.46,0.158,0.11,97.813,483240
67,Classical,1,0.149,0.0511,4,-25.398,0,0.0442,0.959,0.784,0.125,0.0537,81.422,471760
68,Classical,1,0.39,0.0432,6,-24.344,1,0.0506,0.723,0.000303,0.108,0.326,147.436,468133
69,Classical,1,0.441,0.319,3,-13.99,1,0.0392,0.829,0,0.0765,0.671,99.419,453507
70,Classical,1,0.248,0.298,0,-15.661,0,0.0395,0.957,0.9,0.0943,0.157,97.853,442000
71,Classical,1,0.18,0.0951,11,-24.228,0,0.048,0.97,0.911,0.11,0.0527,75.667,435787
72,Classical,1,0,0.0842,9,-19.397,1,0,0.755,0.889,0.262,0,0,432533
73,Classical,1,0.442,0.181,7,-20.419,0,0.0443,0.906,0.656,0.0598,0.172,115.884,432133
74,Classical,1,0.19,0.0266,0,-25.947,0,0.0428,0.992,0.868,0.062,0.0574,122.353,425933
75,Classical,1,0.15,0.128,2,-20.46,1,0.0459,0.944,0.93,0.0703,0.113,46.771,415813
76,Classical,1,0.281,0.113,4,-16.608,1,0.0586,0.99,1.90E-06,0.101,0.232,81.682,405387
77,Classical,1,0.0802,0.00652,3,-35.334,1,0.0446,0.976,0.166,0.12,0.0377,82.109,403720
78,Classical,1,0.333,0.125,0,-19.339,1,0.0337,0.72,0.456,0.0902,0.203,113.221,399040
79,Classical,1,0.278,0.373,0,-16.175,1,0.0446,0.748,0.251,0.19,0.284,80.788,394307
80,Classical,1,0.296,0.252,7,-18.558,0,0.0451,0.906,0.886,0.106,0.3,89.935,380688
81,Classical,1,0.138,0.111,5,-18.272,1,0.0451,0.976,0.59,0.0862,0.0388,80.465,370000
82,Classical,1,0.14,0.0347,1,-24.935,0,0.0414,0.848,0.175,0.0888,0.0378,83.087,369720
83,Classical,1,0.388,0.276,5,-15.012,0,0.0277,0.933,0.334,0.111,0.427,97.34,351653
84,Classical,1,0.368,0.242,0,-17.463,0,0.0382,0.96,0.804,0.109,0.177,87.959,343093
85,Classical,1,0.209,0.101,0,-19.383,1,0.0403,0.927,0.9,0.0776,0.153,85.851,341693
86,Classical,1,0.266,0.181,11,-21.682,0,0.0418,0.98,0.837,0.135,0.0753,135.86,332293
87,Classical,1,0.5,0.0104,2,-26.764,1,0.0622,0.996,0.949,0.0573,0.133,114.76,327080
88,Classical,1,0.251,0.219,7,-16.781,1,0.0323,0.929,0.933,0.0824,0.0965,89.997,325000
89,Classical,1,0.184,0.00527,1,-37.264,0,0.0432,0.995,0.887,0.173,0.151,170.612,315427
90,Classical,1,0.205,0.00644,1,-38.382,0,0.0604,0.995,0.872,0.115,0.147,163.137,315200
91,Classical,1,0.199,0.0677,0,-20.879,1,0.039,0.786,0.738,0.225,0.145,78.866,307827
92,Classical,1,0.225,0.0392,9,-32.237,1,0.0413,0.921,0.2,0.127,0.0705,86.238,307373
93,Classical,1,0.427,0.0067,3,-34.741,1,0.0587,0.996,0.931,0.0748,0.0397,83.576,306067
94,Classical,1,0.137,0.078,8,-26.417,1,0.0407,0.992,0.0039,0.0864,0.0441,99.966,303520
95,Classical,1,0.128,0.132,2,-17.67,1,0.0353,0.744,0.942,0.107,0.0988,85.314,301587
96,Classical,1,0.522,0.0308,5,-26.86,1,0.0641,0.995,0.915,0.0805,0.313,72.551,284000
97,Classical,1,0.343,0.0252,1,-27.013,1,0.0488,0.993,0.932,0.0454,0.0395,67.207,279160
98,Classical,1,0.308,0.00605,4,-35.164,1,0.0486,0.995,0.929,0.0869,0.0739,66.122,274747
99,Classical,1,0.575,0.634,7,-16.967,1,0.0487,0.941,0.849,0.0919,0.904,191.992,271800
100,Classical,1,0.4,0.312,0,-17.376,1,0.157,0.973,0.28,0.25,0.44,76.211,271973
101,Country,2,0.529,0.813,5,-5.517,1,0.0327,0.00823,0,0.359,0.79,154.068,219920
102,Country,2,0.582,0.86,7,-4.092,1,0.0389,0.048,0,0.169,0.79,148.31,210480
103,Country,2,0.45,0.9,2,-2.684,1,0.0894,0.0317,0,0.203,0.567,180.035,185191
104,Country,2,0.486,0.443,4,-6.791,1,0.034,0.611,2.46E-06,0.0981,0.215,125.159,226438
105,Country,2,0.484,0.903,8,-3.9,0,0.0882,0.0649,0,0.151,0.716,169.948,186988
106,Country,2,0.433,0.928,4,-5.117,0,0.0512,0.0135,2.01E-06,0.32,0.552,155.938,197160
107,Country,2,0.588,0.813,5,-5.779,1,0.0391,0.141,0,0.116,0.648,81.051,188886
108,Country,2,0.585,0.55,11,-7.342,1,0.0255,0.408,3.97E-05,0.115,0.839,78.176,218280
109,Country,2,0.565,0.805,0,-4.457,1,0.0489,0.0808,0,0.173,0.869,76.04,181933
110,Country,2,0.649,0.368,2,-10.372,1,0.109,0.478,0.0002,0.257,0.191,73.542,258267
111,Country,2,0.465,0.8,0,-5.876,1,0.037,0.0132,0,0.0975,0.773,94.796,201453
112,Country,2,0.543,0.744,8,-5.41,1,0.0273,0.0124,0,0.315,0.38,93.029,201213
113,Country,2,0.562,0.683,7,-4.427,1,0.0296,0.00531,0,0.107,0.385,132.003,244798
114,Country,2,0.475,0.507,5,-5.666,1,0.0403,0.173,0.000523,0.0723,0.303,143.804,236396
115,Country,2,0.673,0.827,7,-3.162,0,0.0389,0.00661,0,0.18,0.947,126.073,187453
116,Country,2,0.499,0.643,11,-5.416,1,0.0354,0.307,0,0.106,0.469,93.805,201480
117,Country,2,0.569,0.389,7,-6.435,1,0.0283,0.532,9.65E-06,0.137,0.197,127.484,179867
118,Country,2,0.653,0.861,0,-5.283,1,0.0388,0.0734,0,0.114,0.354,101.951,184535
119,Country,2,0.621,0.791,9,-3.343,1,0.0265,0.0361,0,0.143,0.734,95.075,209110
120,Country,2,0.669,0.559,5,-5.003,1,0.0251,0.0805,0,0.0703,0.491,95.001,199413
121,Country,2,0.736,0.423,7,-6.934,1,0.0428,0.398,0,0.108,0.346,94.919,186450
122,Country,2,0.503,0.536,4,-7.229,1,0.0259,0.642,0.00143,0.111,0.21,90.966,241467
123,Country,2,0.739,0.682,2,-3.728,1,0.205,0.129,0,0.328,0.634,131.983,199382
124,Country,2,0.615,0.755,6,-4.274,1,0.0398,0.0261,0,0.076,0.853,165.051,195600
125,Country,2,0.593,0.745,7,-4.37,1,0.0574,0.19,0,0.227,0.849,169.951,175067
126,Country,2,0.711,0.774,7,-4.068,1,0.0308,0.0317,0,0.124,0.939,111.016,209733
127,Country,2,0.539,0.597,8,-5.25,1,0.0269,0.307,4.19E-06,0.112,0.245,169.896,161124
128,Country,2,0.726,0.856,8,-2.807,1,0.035,0.0342,4.60E-06,0.302,0.962,114.022,182498
129,Country,2,0.66,0.83,5,-5.099,1,0.029,0.292,0,0.141,0.856,122.079,194840
130,Country,2,0.662,0.596,1,-6.733,1,0.0385,0.217,0,0.147,0.625,101.016,189173
131,Country,2,0.467,0.854,2,-3.53,1,0.0392,0.0137,0,0.203,0.466,166.115,195432
132,Country,2,0.634,0.808,3,-4.12,1,0.0517,0.192,0,0.0898,0.937,82.016,186867
133,Country,2,0.496,0.506,0,-8.725,1,0.0284,0.00315,1.93E-05,0.277,0.347,141.874,208293
134,Country,2,0.612,0.57,11,-6.642,0,0.0347,0.279,0,0.0963,0.335,77.004,197293
135,Country,2,0.676,0.79,11,-6.817,0,0.0296,0.024,0.031,0.186,0.897,121.693,149720
136,Country,2,0.442,0.335,5,-17.789,0,0.0979,0.907,0.132,0.273,0.394,177.372,240027
137,Country,2,0.561,0.636,1,-6.943,1,0.0268,0.0345,0.00253,0.111,0.325,81.989,205964
138,Country,2,0.609,0.68,9,-6.316,1,0.0348,0.0886,0,0.108,0.561,140.013,211547
139,Country,2,0.75,0.835,5,-4.848,1,0.0311,0.397,0,0.0414,0.924,140.029,189973
140,Country,2,0.602,0.805,7,-6.079,1,0.0473,0.0997,0,0.172,0.322,92.401,199627
141,Country,2,0.492,0.594,4,-7.138,1,0.0449,0.00709,0,0.116,0.314,147.882,196493
142,Country,2,0.707,0.632,10,-7.031,1,0.0789,0.103,1.09E-05,0.0841,0.372,97.04,278893
143,Country,2,0.554,0.641,9,-7.443,1,0.0246,0.083,1.54E-06,0.133,0.541,149.982,222306
144,Country,2,0.621,0.477,0,-5.284,1,0.0334,0.202,0,0.215,0.481,81.976,253084
145,Country,2,0.491,0.907,7,-3.594,1,0.0481,0.0491,0,0.242,0.631,199.943,182667
146,Country,2,0.447,0.429,1,-7.36,1,0.028,0.718,0.0163,0.105,0.074,116.521,216280
147,Country,2,0.712,0.649,2,-6.438,1,0.0302,0.0214,0.00241,0.11,0.457,104.003,220627
148,Country,2,0.683,0.796,11,-4.179,1,0.0285,0.111,0,0.197,0.531,90.031,201893
149,Country,2,0.618,0.881,2,-4.78,1,0.0419,0.0874,8.91E-06,0.0899,0.89,124.976,221453
150,Country,2,0.51,0.947,0,-1.746,1,0.0445,0.0108,0,0.153,0.749,159.995,235242
151,Edm,3,0.687,0.792,5,-2.749,1,0.0452,0.191,0,0.167,0.671,100.015,214290
152,Edm,3,0.784,0.951,7,-7.92,1,0.052,0.00403,0.852,0.0324,0.808,123.99,220645
153,Edm,3,0.563,0.741,2,-5.151,1,0.0419,0.0927,0,0.142,0.438,128.002,209077
154,Edm,3,0.715,0.635,7,-6.591,1,0.0791,0.127,0,0.0862,0.39,112.887,198635
155,Edm,3,0.547,0.672,0,-5.094,1,0.0436,0.306,0,0.068,0.564,99.946,237933
156,Edm,3,0.592,0.873,9,-5.65,1,0.0275,0.0715,0.00982,0.142,0.516,122.011,277262
157,Edm,3,0.68,0.84,10,-5.329,0,0.0421,0.0525,0.00194,0.161,0.39,126.023,172381
158,Edm,3,0.448,0.911,1,-3.095,1,0.0408,0.0214,0,0.059,0.255,127.127,234012
159,Edm,3,0.582,0.757,0,-3.965,1,0.0399,0.16,0,0.187,0.516,104.105,205787
160,Edm,3,0.533,0.807,2,-3.597,1,0.0457,0.097,0,0.0608,0.369,125.025,253440
161,Edm,3,0.529,0.612,10,-8.794,1,0.052,0.253,0,0.246,0.434,119.272,193847
162,Edm,3,0.7,0.904,2,-4.03,1,0.0431,0.0531,8.03E-06,0.105,0.347,103.039,181102
163,Edm,3,0.466,0.612,8,-4.855,0,0.0307,0.0655,4.07E-06,0.132,0.236,128.114,239067
164,Edm,3,0.633,0.918,11,-8.208,0,0.0454,0.0334,0.867,0.364,0.786,129.99,194926
165,Edm,3,0.566,0.909,8,-7.281,0,0.054,0.004,0.0932,0.156,0.382,127.037,240384
166,Edm,3,0.651,0.693,4,-4.722,1,0.0375,0.458,0,0.335,0.392,118.97,236765
167,Edm,3,0.562,0.882,11,-4.356,0,0.0604,0.0034,0.123,0.55,0.694,125.985,240000
168,Edm,3,0.937,0.632,11,-8.216,0,0.3,0.0349,0.000742,0.108,0.57,128.021,210703
169,Edm,3,0.693,0.678,8,-7.159,1,0.0324,0.0154,6.05E-06,0.101,0.404,103.952,228267
170,Edm,3,0.498,0.494,0,-12.42,1,0.0343,0.0118,0.00108,0.166,0.12,134.983,209938
171,Edm,3,0.637,0.812,5,-4.314,0,0.0553,0.00927,0,0.463,0.593,123.026,196814
172,Edm,3,0.654,0.795,0,-4.419,1,0.0536,0.178,0,0.19,0.465,120.019,185750
173,Edm,3,0.722,0.856,1,-6.392,0,0.0338,0.0305,0.0597,0.231,0.826,121.989,162295
174,Edm,3,0.58,0.804,9,-4.618,1,0.0279,0.0304,0.00359,0.105,0.137,126.005,215388
175,Edm,3,0.72,0.842,11,-6.748,0,0.143,0.0503,0.0342,0.406,0.425,125.998,251413
176,Edm,3,0.683,0.785,7,-4.879,1,0.037,0.0643,1.34E-05,0.177,0.581,122.997,184564
177,Edm,3,0.926,0.951,6,-5.531,0,0.0924,0.00232,0.452,0.313,0.918,123.987,206588
178,Edm,3,0.595,0.954,4,-7.786,0,0.0473,0.00164,0.744,0.426,0.171,123.016,282927
179,Edm,3,0.47,0.905,7,-2.832,0,0.0645,0.0125,2.01E-06,0.514,0.0549,127.077,228661
180,Edm,3,0.624,0.758,8,-6.039,1,0.0413,0.153,1.61E-05,0.104,0.413,122.019,186213
181,Edm,3,0.294,0.505,3,-8.106,1,0.042,0.12,0,0.0977,0.357,85.332,209893
182,Edm,3,0.503,0.754,7,-3.634,1,0.0424,0.264,5.85E-05,0.297,0.597,116.524,186750
183,Edm,3,0.818,0.823,11,-3.563,0,0.2,0.0663,1.17E-05,0.133,0.52,128.136,160794
184,Edm,3,0.497,0.792,2,-6.539,1,0.0291,0.0555,0.506,0.0946,0.224,125.067,172222
185,Edm,3,0.438,0.767,3,-4.335,1,0.0422,0.0173,0,0.116,0.244,127.96,191719
186,Edm,3,0.81,0.788,10,-3.663,1,0.0447,0.267,0.000172,0.196,0.845,135.991,174761
187,Edm,3,0.565,0.674,8,-6.098,0,0.0463,0.0248,8.68E-06,0.105,0.254,127.046,170079
188,Edm,3,0.624,0.767,8,-3.824,1,0.0417,0.00763,0.000506,0.215,0.235,127.967,170791
189,Edm,3,0.531,0.733,9,-7.178,1,0.0357,0.00679,0,0.0862,0.417,122.048,198694
190,Edm,3,0.641,0.782,6,-7.28,0,0.0623,0.382,0.000558,0.126,0.596,124.009,230323
191,Edm,3,0.743,0.864,9,-4.043,0,0.0539,0.101,0.000285,0.111,0.528,124.01,184686
192,Edm,3,0.849,0.756,11,-7.226,1,0.0985,0.513,0,0.259,0.701,104.981,161167
193,Edm,3,0.596,0.962,11,-2.502,1,0.0571,0.0147,0.103,0.247,0.325,126.091,162840
194,Edm,3,0.629,0.539,7,-7.006,0,0.063,0.166,0,0.189,0.316,109.885,193747
195,Edm,3,0.812,0.635,11,-11.051,1,0.0753,1.81E-05,0.936,0.126,0.811,121.983,222295
196,Edm,3,0.764,0.868,5,-8.034,0,0.136,0.00725,0.000682,0.0946,0.337,126.034,195429
197,Edm,3,0.54,0.961,11,-3.587,0,0.0645,0.0123,0.796,0.0913,0.648,121.664,188732
198,Edm,3,0.355,0.746,11,-5.342,0,0.0479,0.0387,0.055,0.0552,0.361,150.227,169125
199,Edm,3,0.726,0.747,1,-11.173,1,0.0383,0.0301,0.756,0.339,0.495,125.986,230476
200,Edm,3,0.587,0.648,11,-6.927,0,0.0439,0.0561,0,0.115,0.281,144.028,220141
201,Funk,4,0.642,0.764,7,-6.741,0,0.0457,0.1,0.32,0.0731,0.704,104.885,224041
202,Funk,4,0.731,0.743,11,-11.783,0,0.0506,0.0696,0.0045,0.0796,0.97,88.049,210483
203,Funk,4,0.684,0.882,8,-9.353,1,0.118,0.152,0.0225,0.313,0.758,90.149,305760
204,Funk,4,0.782,0.922,11,-4.028,0,0.0497,0.00655,0.0118,0.0728,0.761,104.016,255228
205,Funk,4,0.745,0.84,0,-6.623,1,0.0692,0.0654,0.104,0.0446,0.9,123.983,224368
206,Funk,4,0.687,0.958,9,-4.498,1,0.118,0.0561,0.138,0.0886,0.797,158.276,186349
207,Funk,4,0.61,0.752,10,-5.062,0,0.0389,0.294,0.0755,0.116,0.832,89.995,196867
208,Funk,4,0.55,0.776,0,-4.796,1,0.236,0.0893,0.000182,0.176,0.932,204.745,215587
209,Funk,4,0.658,0.895,7,-6.84,0,0.0704,0.0669,0.00312,0.361,0.855,123.912,199600
210,Funk,4,0.775,0.898,2,-7.054,1,0.0949,0.028,0.000269,0.0646,0.776,109.987,281133
211,Funk,4,0.771,0.807,7,-6.258,1,0.058,0.0107,0.0135,0.568,0.707,98.003,256960
212,Funk,4,0.849,0.781,0,-9.329,0,0.0803,0.0946,0.057,0.0681,0.817,115.009,402852
213,Funk,4,0.518,0.877,1,-5.648,1,0.0458,0.000214,0.072,0.297,0.812,92.902,222334
214,Funk,4,0.392,0.865,2,-4.766,0,0.104,0.00254,4.25E-05,0.107,0.845,188.354,216152
215,Funk,4,0.698,0.687,0,-6.185,1,0.0673,0.115,1.48E-06,0.0858,0.8,114.353,286433
216,Funk,4,0.779,0.803,2,-5.907,0,0.0393,0.361,0.000697,0.0371,0.973,112.049,295133
217,Funk,4,0.679,0.947,6,-3.707,1,0.0809,0.67,9.69E-06,0.199,0.864,109.849,274580
218,Funk,4,0.698,0.906,7,-10.688,0,0.04,0.581,0.812,0.114,0.882,108,311437
219,Funk,4,0.728,0.694,1,-6.368,1,0.0404,0.0556,9.29E-05,0.135,0.688,90.044,287213
220,Funk,4,0.629,0.734,2,-7.952,1,0.0443,0.00906,1.80E-05,0.135,0.631,150.15,234324
221,Funk,4,0.814,0.682,5,-6.89,0,0.0559,0.0283,0.000789,0.159,0.914,123.722,153387
222,Funk,4,0.777,0.908,9,-5.242,1,0.172,0.0904,0,0.224,0.674,100.938,174608
223,Funk,4,0.703,0.914,7,-6.455,1,0.0755,0.0439,0.00123,0.161,0.843,108.993,328480
224,Funk,4,0.637,0.884,5,-6.96,1,0.0664,0.0318,3.44E-06,0.0677,0.527,121.926,216800
225,Funk,4,0.811,0.792,7,-8.477,1,0.0537,0.0363,0.0517,0.342,0.94,107.255,239621
226,Funk,4,0.817,0.795,5,-6.108,0,0.0546,0.0449,0.0119,0.0195,0.855,107.971,245413
227,Funk,4,0.606,0.957,11,-5.646,0,0.18,0.113,0.0704,0.0418,0.554,99.042,261185
228,Funk,4,0.73,0.674,5,-11.049,1,0.0526,0.00442,1.48E-06,0.0885,0.847,107.253,272722
229,Funk,4,0.888,0.531,9,-8.178,0,0.317,0.267,0.000334,0.00535,0.856,150.052,215603
230,Funk,4,0.874,0.445,5,-9.846,0,0.067,0.0496,0.00203,0.118,0.616,110.122,289349
